Hidden Gem Score,IMDb Votes,Rotten Tomatoes Score,Metacritic Score,IMDb Score,Genre
3,5594.0,64.0,0.0,46.0,217.0
8,4429.0,73.0,0.0,36.0,938.0
3,4983.0,0.0,0.0,46.0,1152.0
4,2270.0,89.0,76.0,48.0,865.0
7,2367.0,95.0,0.0,44.0,1119.0
5,4771.0,66.0,0.0,43.0,8.0
3,5348.0,61.0,37.0,32.0,1210.0
6,4613.0,0.0,0.0,60.0,838.0
8,1348.0,0.0,0.0,53.0,994.0
3,5289.0,82.0,62.0,43.0,1119.0
4,2846.0,0.0,0.0,59.0,239.0
9,491.0,0.0,0.0,56.0,1019.0
4,5362.0,99.0,81.0,57.0,141.0
7,2059.0,61.0,0.0,42.0,141.0
4,1923.0,99.0,80.0,51.0,204.0
2,1541.0,46.0,39.0,49.0,971.0
7,3098.0,92.0,0.0,50.0,971.0
3,3196.0,71.0,57.0,47.0,1264.0
2,1542.0,15.0,38.0,36.0,56.0
3,3774.0,84.0,64.0,41.0,334.0
7,2441.0,0.0,0.0,50.0,836.0
2,2494.0,52.0,44.0,36.0,901.0
3,3881.0,87.0,65.0,42.0,581.0
5,4254.0,72.0,52.0,34.0,1204.0
4,4855.0,97.0,0.0,56.0,901.0
3,1912.0,85.0,49.0,41.0,1192.0
2,4743.0,38.0,30.0,40.0,203.0
7,3410.0,94.0,0.0,52.0,1019.0
4,5809.0,90.0,69.0,60.0,1014.0
7,2299.0,0.0,0.0,51.0,950.0
8,1993.0,0.0,0.0,45.0,1119.0
4,2316.0,0.0,87.0,60.0,728.0
8,4739.0,0.0,0.0,42.0,748.0
3,4273.0,4.0,27.0,35.0,1188.0
8,5166.0,0.0,0.0,43.0,838.0
8,5166.0,0.0,0.0,43.0,1281.0
3,3629.0,63.0,49.0,41.0,117.0
8,2838.0,0.0,0.0,49.0,244.0
8,1869.0,0.0,0.0,62.0,1096.0
3,5099.0,77.0,66.0,55.0,1018.0
3,4610.0,65.0,55.0,45.0,106.0
4,5158.0,68.0,41.0,38.0,271.0
8,4178.0,0.0,0.0,53.0,1214.0
2,2100.0,29.0,44.0,28.0,378.0
7,1320.0,0.0,0.0,46.0,495.0
